lookback,skip,book,cagr_%,sharpe,max_dd_%,t_stat
3,0,long/short,-1.15,0.002,-47.0,0.01
3,0,long-only,10.82,0.75,-45.1,3.99
3,1,long/short,-4.57,-0.212,-76.5,-0.95
3,1,long-only,8.21,0.599,-39.2,3.07
6,0,long/short,-1.01,0.011,-56.0,0.06
6,0,long-only,11.08,0.779,-34.7,4.37
6,1,long/short,-2.71,-0.088,-70.8,-0.47
6,1,long-only,11.19,0.775,-36.4,4.32
9,0,long/short,0.25,0.095,-44.3,0.47
9,0,long-only,10.21,0.723,-38.8,3.9
9,1,long/short,-0.44,0.048,-54.7,0.24
9,1,long-only,10.07,0.704,-38.3,3.99
12,0,long/short,2.62,0.242,-36.6,1.33
12,0,long-only,11.96,0.836,-36.9,4.66
12,1,long/short,1.09,0.148,-41.6,0.85
12,1,long-only,11.18,0.766,-38.4,4.43
18,0,long/short,2.33,0.223,-42.8,1.34
18,0,long-only,11.55,0.787,-41.8,4.54
18,1,long/short,1.84,0.193,-46.4,1.2
18,1,long-only,11.19,0.753,-42.5,4.43
24,0,long/short,0.93,0.14,-57.1,0.84
24,0,long-only,11.28,0.756,-42.7,4.26
24,1,long/short,0.74,0.128,-55.9,0.79
24,1,long-only,11.39,0.758,-41.9,4.72
