lookback,skip,book,cagr_%,sharpe,max_dd_%,vs_bh
21,0,long/short,1.74,0.188,-25.3,-0.989
21,0,long/flat,13.58,0.816,-21.9,-0.361
42,0,long/short,17.79,0.888,-17.3,-0.289
42,0,long/flat,22.06,1.191,-15.4,0.013
42,21,long/short,6.86,0.422,-26.1,-0.755
42,21,long/flat,16.26,0.921,-22.9,-0.257
63,0,long/short,11.11,0.609,-29.9,-0.569
63,0,long/flat,18.4,0.991,-24.7,-0.186
63,21,long/short,8.91,0.513,-26.5,-0.664
63,21,long/flat,17.25,0.945,-20.6,-0.232
126,0,long/short,20.29,0.989,-31.7,-0.189
126,0,long/flat,23.05,1.167,-23.0,-0.011
126,21,long/short,21.08,1.02,-31.0,-0.157
126,21,long/flat,23.38,1.165,-26.1,-0.013
189,0,long/short,15.62,0.799,-27.5,-0.379
189,0,long/flat,20.39,1.01,-26.8,-0.168
189,21,long/short,16.89,0.851,-32.0,-0.326
189,21,long/flat,21.14,1.055,-26.8,-0.123
252,0,long/short,22.5,1.076,-27.3,-0.102
252,0,long/flat,23.84,1.134,-27.3,-0.043
252,21,long/short,19.63,0.962,-27.3,-0.216
252,21,long/flat,22.43,1.088,-27.3,-0.089
